Не тарифицируемый
По умолчанию
Энергия активная принимаемая
Энергия активная выдаваемая
Энергия реактивная принимаемая
Энергия реактивная выдаваемая
Мощность активная принимаемая
Мощность активная выдаваемая
Мощность реактивная принимаемая
Мощность реактивная выдаваемая
