!;;;
!;;;
0;00180;1103;;;;;;;
0;00494;1103;;;;;;;
0;01103;;;;;;;;
0;00742;;;;;;;;
0;00922;1103;;;;;;;
0;01170;1103;180;;;;;;
0;00449;1103;180;;;;;;
0;00269;1103;;;;;;;
0;00551;1103;;;;;;;
0;00214;1103;;;;;;;
0;00304;1103;;;;;;;
0;00089;1103;180;;;;;;
0;00461;1103;180;;;;;;
0;00281;1103;180;;;;;;
0;00438;1103;;;;;;;
0;00034;1103;180;;;;;;
0;00720;1103;;;;;;;
0;00247;1103;;;;;;;
0;00584;1103;;;;;;;
0;00090;1103;922;;;;;;
0;00517;1103;494;;;;;;
0;00023;1103;180;;;;;;
0;00719;1103;;;;;;;
0;00506;1103;;;;;;;
0;00607;1103;247;;;;;;
0;00427;1103;922;;;;;;
0;00450;1103;;;;;;;
0;00102;1103;;;;;;;
0;00292;1103;304;;;;;;
0;00595;1103;180;;;;;;
0;00270;1103;;;;;;;
0;00236;1103;438;;;;;;
0;00540;1103;247;;;;;;
0;00146;1103;438;;;;;;
0;00078;1103;551;;;;;;
0;00179;1103;551;;;;;;
0;01125;;;;;;;;
0;00900;1125;;;;;;;
0;01136;1125;;;;;;;
0;00933;;;;;;;;
0;00168;;;;;;;;
0;01080;;;;;;;;
0;00865;;;;;;;;
0;01181;;;;;;;;
0;01169;1125;;;;;;;
0;00988;1125;;;;;;;
0;01192;;;;;;;;
0;00821;;;;;;;;
0;00775;1125;;;;;;;
0;00764;1125;;;;;;;
0;00999;1125;;;;;;;
0;00753;1125;;;;;;;
0;01024;1125;;;;;;;
0;00977;1125;;;;;;;
0;01114;1125;;;;;;;
0;00528;1125;;;;;;;
0;00944;1125;;;;;;;
0;00573;1125;;;;;;;
0;01046;1125;;;;;;;
0;00843;1125;;;;;;;
0;00786;168;;;;;;;
0;00876;168;;;;;;;
0;00911;1080;;;;;;;
0;00731;1080;;;;;;;
0;00809;865;;;;;;;
0;00966;865;;;;;;;
0;00562;1125;999;;;;;;
0;00797;1125;999;;;;;;
0;01002;1125;528;;;;;;
0;01035;1125;528;;;;;;
0;00539;1125;1024;;;;;;
0;00898;1125;1024;;;;;;
